ID,Frame,X_cm,Y_cm
1,1375,-1.2,6.95
2,1929,12.1,16.65
3,2140,-13.3,8.95
4,2529,11.6,-19.05
5,2757,28.9,-3.45
6,2981,-29.5,14.15
7,3178,12.4,-6.05
8,3363,18.1,1.35
9,3545,-1.6,11.15
10,4445,9.8,-2.15
11,4861,2.5,5.85
12,5179,-12.9,18.05
13,5430,5.6,15.25
14,5869,6.0,20.25
15,6238,-12.5,9.75
16,6492,24.6,11.65
17,6720,-9.7,20.65
18,7093,7.0,6.55
19,7330,14.3,13.15
20,7556,8.3,-0.45
21,7998,-5.1,16.05
22,8437,22.3,10.15
23,8640,-24.3,-12.15
24,8828,15.1,1.15
25,9026,-23.1,-1.55
26,9321,7.7,3.15
27,9535,-2.0,-18.35
28,9985,11.3,8.55
29,10205,-16.9,12.85
30,10412,25.1,1.95
31,10907,7.1,-4.25
32,11091,-20.8,15.75
33,11692,-20.7,22.55
34,11875,-19.4,20.55
35,12506,-10.3,5.65
36,12683,-20.7,-6.15
37,13027,-16.0,4.55
38,13424,-9.4,-1.55
39,13727,-20.1,22.45
40,14143,-13.4,-13.65
41,14327,11.1,9.15
42,14515,17.1,20.85
43,14704,11.5,-4.55
44,14892,2.3,18.25
45,15178,18.4,9.45
46,15361,13.1,23.95
47,15556,22.7,9.35
48,15749,9.2,17.45
49,15942,14.4,15.15
