epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7716,1.66515,6.02479,0.88847,0.00275,0.82353,0.00629,0.00327,1.58018,4.60052,0.90596,0.00034,0.00034,0.00034
2,82.2118,1.67359,4.07188,0.92804,0.00265,0.79412,0.00604,0.00294,1.5148,4.26813,0.89398,0.00068614,0.00068614,0.00068614
3,126.985,1.71361,3.24689,0.91272,0.00314,0.94118,0.05743,0.02729,1.41347,3.88055,0.86849,0.00101802,0.00101802,0.00101802
4,171.276,1.54912,2.73486,0.90265,0.00862,0.91176,0.75349,0.3676,1.46748,3.13354,0.88572,0.00133565,0.00133565,0.00133565
5,215.378,1.77226,2.9086,0.90176,0.95788,0.66888,0.94129,0.51383,1.85962,2.72699,1.03287,0.00163902,0.00163902,0.00163902
6,260.727,1.59964,2.49348,0.91166,1,0.99313,0.995,0.5839,1.60317,1.63133,0.96984,0.001802,0.001802,0.001802
7,306.384,1.60933,2.06046,0.91203,0.93923,1,0.96922,0.48934,1.57015,1.46049,0.92837,0.0017624,0.0017624,0.0017624
8,352.151,1.56384,2.07101,0.90018,0.99725,1,0.995,0.51022,1.55621,1.18177,0.93215,0.0017228,0.0017228,0.0017228
9,396.9,1.49888,1.75015,0.89311,0.99829,1,0.995,0.61363,1.44234,1.1659,0.91132,0.0016832,0.0016832,0.0016832
10,441.964,1.57198,1.66469,0.87318,0.98275,1,0.99399,0.63274,1.37135,1.10854,0.89898,0.0016436,0.0016436,0.0016436
11,486.58,1.51206,1.53126,0.87996,0.99856,1,0.995,0.52041,1.69818,1.27106,0.96266,0.001604,0.001604,0.001604
12,530.563,1.51404,1.35898,0.89674,0.98138,1,0.99486,0.57413,1.39837,0.97848,0.90623,0.0015644,0.0015644,0.0015644
13,575.054,1.4382,1.27731,0.86161,0.99556,1,0.995,0.6552,1.33112,0.92462,0.88836,0.0015248,0.0015248,0.0015248
14,620.881,1.47835,1.24798,0.88366,0.98448,0.98529,0.98342,0.60156,1.39547,0.85507,0.89284,0.0014852,0.0014852,0.0014852
15,667.122,1.47303,1.15298,0.90303,0.98397,0.98529,0.99037,0.60574,1.34746,0.84866,0.89351,0.0014456,0.0014456,0.0014456
16,713.315,1.41675,1.04055,0.8707,1,0.99993,0.995,0.64512,1.28,0.81678,0.88815,0.001406,0.001406,0.001406
17,759.671,1.3566,1.092,0.8707,0.98379,0.98529,0.99128,0.6017,1.43498,0.82353,0.90086,0.0013664,0.0013664,0.0013664
18,805.986,1.45556,1.05343,0.92261,0.98376,0.98529,0.97947,0.61254,1.32019,0.86163,0.88458,0.0013268,0.0013268,0.0013268
19,851.446,1.40968,0.97972,0.86914,0.98382,0.98529,0.97803,0.61771,1.36314,0.78623,0.8831,0.0012872,0.0012872,0.0012872
20,897.413,1.35071,0.86294,0.86846,0.98385,0.98529,0.99089,0.66837,1.22848,0.81655,0.86781,0.0012476,0.0012476,0.0012476
21,943.521,1.35696,0.8589,0.87481,0.99742,1,0.995,0.65725,1.38777,0.74062,0.89419,0.001208,0.001208,0.001208
22,989.772,1.31476,0.82204,0.87157,0.99919,1,0.995,0.62273,1.41716,0.71466,0.90744,0.0011684,0.0011684,0.0011684
