epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1983,1.645,9.57656,0.88269,0.9698,0.98529,0.98458,0.56694,1.26186,1.55142,0.87316,0.00034,0.00034,0.00034
2,135.608,1.59399,1.71321,0.92493,0.99703,1,0.995,0.56034,1.45852,1.96409,0.93208,0.00068614,0.00068614,0.00068614
3,202.685,1.58828,1.0813,0.91777,0.10071,0.98529,0.10197,0.05179,1.60134,15.4069,0.98541,0.00101802,0.00101802,0.00101802
4,270.511,1.66898,1.02922,0.92539,0.86865,0.92647,0.9558,0.39259,1.67233,2.02485,1.03007,0.00133565,0.00133565,0.00133565
5,336.839,1.80375,1.05373,0.91459,0.91109,0.92647,0.95947,0.50839,1.836,1.76565,1.08095,0.00163902,0.00163902,0.00163902
6,405.321,1.51299,0.95025,0.90871,0.99758,1,0.995,0.5966,1.41937,1.22257,0.94149,0.001802,0.001802,0.001802
7,471.988,1.55279,0.76746,0.89946,0.99644,1,0.995,0.58684,1.43775,1.99365,0.93216,0.0017624,0.0017624,0.0017624
8,538.062,1.55865,0.77265,0.89054,0.95315,0.89749,0.94943,0.54911,1.44416,1.55005,0.92375,0.0017228,0.0017228,0.0017228
9,604.763,1.51637,0.72123,0.89326,0.98526,0.98333,0.99414,0.64578,1.44493,0.80533,0.93085,0.0016832,0.0016832,0.0016832
10,671.886,1.56394,0.7642,0.87642,5e-05,0.01471,2e-05,1e-05,2.53235,7275.01,2.02153,0.0016436,0.0016436,0.0016436
11,738.602,1.48962,0.76995,0.88898,0.81805,0.32353,0.43048,0.28598,1.95381,1.93796,1.35539,0.001604,0.001604,0.001604
12,805.103,1.44418,0.68946,0.88535,0.9679,0.94118,0.97444,0.50674,1.44409,0.74675,0.93536,0.0015644,0.0015644,0.0015644
13,871.188,1.44479,0.69346,0.87204,0.95242,0.64706,0.73427,0.43308,1.60856,0.97629,1.04606,0.0015248,0.0015248,0.0015248
14,937.952,1.41953,0.70389,0.8807,0.05681,0.32353,0.0325,0.02179,2.22794,132.379,2.46307,0.0014852,0.0014852,0.0014852
15,1004.88,1.43393,0.6759,0.89731,0.98397,0.98529,0.99065,0.59054,1.3426,0.61115,0.9071,0.0014456,0.0014456,0.0014456
16,1072.72,1.36508,0.64199,0.86384,0.98237,1,0.995,0.58259,1.31846,0.75817,0.90216,0.001406,0.001406,0.001406
17,1140.13,1.38337,0.64496,0.88951,1,0.98307,0.98956,0.56661,1.42108,0.61994,0.90655,0.0013664,0.0013664,0.0013664
18,1207.45,1.52497,0.67973,0.93637,1,0.93908,0.9928,0.65796,1.2191,0.60568,0.89309,0.0013268,0.0013268,0.0013268
19,1273.93,1.46993,0.68609,0.88269,0.99471,1,0.995,0.63018,1.29753,0.58665,0.90068,0.0012872,0.0012872,0.0012872
20,1341.47,1.29875,0.60877,0.87111,0.97968,0.98529,0.9868,0.62368,1.1372,0.53337,0.87191,0.0012476,0.0012476,0.0012476
21,1408.33,1.39261,0.65642,0.88225,0.99747,1,0.995,0.62279,1.3104,0.62274,0.88796,0.001208,0.001208,0.001208
22,1475.35,1.37402,0.68472,0.8781,0.98525,0.98529,0.99167,0.60981,1.26345,0.57857,0.88228,0.0011684,0.0011684,0.0011684
23,1542.45,1.32786,0.60396,0.85742,0.98297,0.97059,0.98368,0.62815,1.2576,0.58093,0.89028,0.0011288,0.0011288,0.0011288
24,1608.22,1.29921,0.62572,0.87086,0.98289,0.98529,0.98747,0.63798,1.19824,0.55543,0.87524,0.0010892,0.0010892,0.0010892
25,1676.78,1.16917,0.57039,0.86757,0.99789,1,0.995,0.63021,1.22159,0.55758,0.87698,0.0010496,0.0010496,0.0010496
26,1743.35,1.28796,0.60284,0.8604,0.98418,0.98529,0.99295,0.61689,1.28026,0.53868,0.88642,0.00101,0.00101,0.00101
27,1809.86,1.215,0.58645,0.84244,0.98427,0.98529,0.99413,0.60633,1.2272,0.53043,0.87825,0.0009704,0.0009704,0.0009704
28,1876.77,1.24434,0.5431,0.8512,0.99902,1,0.995,0.62076,1.28035,0.5394,0.89026,0.0009308,0.0009308,0.0009308
29,1943.27,1.23373,0.55615,0.89264,0.99893,1,0.995,0.64978,1.24834,0.57492,0.8851,0.0008912,0.0008912,0.0008912
30,2010.68,1.10933,0.53184,0.84258,0.99756,1,0.995,0.62652,1.34977,0.59642,0.90397,0.0008516,0.0008516,0.0008516
31,2080.55,1.11924,0.51045,0.83733,0.98404,0.98529,0.9911,0.63868,1.23843,0.50109,0.88426,0.000812,0.000812,0.000812
32,2147.8,1.21635,0.5334,0.8544,0.99876,1,0.995,0.62496,1.28477,0.52935,0.87865,0.0007724,0.0007724,0.0007724
33,2214.35,1.13185,0.53783,0.85707,0.98397,0.98529,0.99178,0.6229,1.20551,0.51224,0.8739,0.0007328,0.0007328,0.0007328
34,2280.26,1.09915,0.53704,0.84065,0.98444,0.98529,0.98806,0.59976,1.32039,0.56052,0.89005,0.0006932,0.0006932,0.0006932
35,2347.23,1.16939,0.53941,0.84355,0.99861,1,0.995,0.63216,1.22967,0.56185,0.87866,0.0006536,0.0006536,0.0006536
36,2429.61,1.26034,0.57599,0.87078,0.98367,0.98529,0.99375,0.6268,1.25335,0.54175,0.88504,0.000614,0.000614,0.000614
37,2521.5,1.19879,0.56592,0.87208,0.99838,1,0.995,0.64268,1.20536,0.55245,0.87152,0.0005744,0.0005744,0.0005744
38,2617.41,1.11563,0.52128,0.85479,0.99894,1,0.995,0.66332,1.25749,0.52857,0.87698,0.0005348,0.0005348,0.0005348
39,2712.51,1.06918,0.47524,0.824,0.98432,0.98529,0.99414,0.63309,1.31245,0.54368,0.88601,0.0004952,0.0004952,0.0004952
40,2806.39,1.18064,0.52115,0.84882,0.99903,1,0.995,0.65558,1.31264,0.51587,0.88209,0.0004556,0.0004556,0.0004556
41,2896.92,1.06798,0.48069,0.82699,0.98427,0.98529,0.9893,0.59472,1.31086,0.51002,0.88169,0.000416,0.000416,0.000416
42,2986.45,1.17552,0.54685,0.85542,0.99896,1,0.995,0.6738,1.20404,0.46192,0.86491,0.0003764,0.0003764,0.0003764
43,3075.14,1.14989,0.51973,0.83412,0.99887,1,0.995,0.68132,1.22735,0.47301,0.87012,0.0003368,0.0003368,0.0003368
44,3166.46,1.02532,0.48056,0.84854,0.99894,1,0.995,0.67445,1.29301,0.48571,0.88334,0.0002972,0.0002972,0.0002972
45,3254.27,1.00108,0.4928,0.81516,0.98422,0.98529,0.9871,0.63958,1.28457,0.488,0.8881,0.0002576,0.0002576,0.0002576
46,3342.98,1.01006,0.48215,0.85319,0.99892,1,0.995,0.62969,1.29162,0.51093,0.891,0.000218,0.000218,0.000218
47,3432.68,0.98377,0.45019,0.8427,0.99897,1,0.995,0.63539,1.28751,0.53491,0.89711,0.0001784,0.0001784,0.0001784
48,3522,1.03828,0.45996,0.8253,0.98431,0.98529,0.98045,0.62818,1.2737,0.51024,0.89059,0.0001388,0.0001388,0.0001388
49,3611.57,1.0042,0.46428,0.8488,0.98432,0.98529,0.98339,0.64088,1.29054,0.51578,0.89252,9.92e-05,9.92e-05,9.92e-05
50,3699.57,0.95126,0.44528,0.83243,0.99897,1,0.995,0.63801,1.3336,0.53916,0.89856,5.96e-05,5.96e-05,5.96e-05
